session_id,video_path,split,performer,scenario,lighting,notes
cross_hands_error,data/raw/microphone_sessions/cross_hands_error_video.mp4,test,,background_cross_hands,,
handling_glasses,data/raw/microphone_sessions/handling_glasses.mp4,test,,background_distractor,,
handling_wrong_objects,data/raw/microphone_sessions/handling_wrong_objects_video.mp4,test,,background_distractor,,
M0_v1,data/raw/microphone_sessions/M0_v1.mp4,train,,step_M0,,
M0_v2,data/raw/microphone_sessions/M0_v2.mp4,train,,step_M0,,
M0_v3,data/raw/microphone_sessions/M0_v3.mp4,train,,step_M0,,
M0_v4,data/raw/microphone_sessions/M0_v4.mp4,val,,step_M0,,
M0_v5,data/raw/microphone_sessions/M0_v5.mp4,test,,step_M0,held out,
M1_v1,data/raw/microphone_sessions/M1_v1.mp4,train,,step_M1,,
M1_v2,data/raw/microphone_sessions/M1_v2.mp4,train,,step_M1,,
M1_v3,data/raw/microphone_sessions/M1_v3.mp4,train,,step_M1,,
M1_v4,data/raw/microphone_sessions/M1_v4.mp4,val,,step_M1,,
M1_v5,data/raw/microphone_sessions/M1_v5.mp4,test,,step_M1,held out,
M2_v1,data/raw/microphone_sessions/M2_v1.mp4,train,,step_M2,,
M2_v2,data/raw/microphone_sessions/M2_v2.mp4,train,,step_M2,,
M2_v3,data/raw/microphone_sessions/M2_v3.mp4,train,,step_M2,,
M2_v4,data/raw/microphone_sessions/M2_v4.mp4,val,,step_M2,,
M2_v5,data/raw/microphone_sessions/M2_v5.mp4,test,,step_M2,held out,
M3_v1,data/raw/microphone_sessions/M3_v1.mp4,train,,step_M3,,
M3_v2,data/raw/microphone_sessions/M3_v2.mp4,train,,step_M3,,
M3_v3,data/raw/microphone_sessions/M3_v3.mp4,train,,step_M3,,
M3_v4,data/raw/microphone_sessions/M3_v4.mp4,val,,step_M3,,
M3_v5,data/raw/microphone_sessions/M3_v5.mp4,test,,step_M3,held out,
M4_v1,data/raw/microphone_sessions/M4_v1.mp4,train,,step_M4,,
M4_v2,data/raw/microphone_sessions/M4_v2.mp4,train,,step_M4,,
M4_v3,data/raw/microphone_sessions/M4_v3.mp4,train,,step_M4,,
M4_v4,data/raw/microphone_sessions/M4_v4.mp4,val,,step_M4,,
M4_v5,data/raw/microphone_sessions/M4_v5.mp4,test,,step_M4,held out,
M5_v1,data/raw/microphone_sessions/M5_v1.mp4,train,,step_M5,,
M5_v2,data/raw/microphone_sessions/M5_v2.mp4,train,,step_M5,,
M5_v3,data/raw/microphone_sessions/M5_v3.mp4,train,,step_M5,,
M5_v4,data/raw/microphone_sessions/M5_v4.mp4,val,,step_M5,,
M5_v5,data/raw/microphone_sessions/M5_v5.mp4,test,,step_M5,held out,
M6_v1,data/raw/microphone_sessions/M6_v1.mp4,train,,step_M6,,
M6_v2,data/raw/microphone_sessions/M6_v2.mp4,train,,step_M6,,
M6_v3,data/raw/microphone_sessions/M6_v3.mp4,train,,step_M6,,
M6_v4,data/raw/microphone_sessions/M6_v4.mp4,val,,step_M6,,
M6_v5,data/raw/microphone_sessions/M6_v5.mp4,test,,step_M6,held out,
mic_case_not_opened_v1,data/raw/microphone_sessions/mic_case_not_opened_v1.mp4,train,,case_not_opened,,
mic_case_not_opened_v2,data/raw/microphone_sessions/mic_case_not_opened_v2.mp4,val,,case_not_opened,,
mic_case_not_opened_v3,data/raw/microphone_sessions/mic_case_not_opened_v3.mp4,test,,case_not_opened,held out,
plugged_in_no_blink_video_v1,data/raw/microphone_sessions/plugged_in_no_blink_video_v1.mp4,train,,receiver_no_blink,,
