epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4961,1.36978,20.062,0.00801,0.001,0.12818,0.00045,0.00012,1.44248,23.4406,0.01212,0.000324042,0.000324042,0.000324042
2,15.1487,1.40386,18.5026,0.00748,0.26647,0.12143,0.05447,0.02968,1.24369,11.9615,0.01095,0.000680626,0.000680626,0.000680626
3,17.8647,1.46284,11.4535,0.00857,0.04341,0.10348,0.03926,0.01819,1.43728,8.91476,0.01284,0.00102255,0.00102255,0.00102255
4,20.285,1.41461,7.80215,0.00764,0.05127,0.12675,0.12521,0.07195,1.4713,5.51908,0.0135,0.00104501,0.00104501,0.00104501
5,22.7607,1.33826,5.22668,0.00727,0.25692,0.10351,0.08806,0.0485,1.34978,5.59175,0.0128,0.00102301,0.00102301,0.00102301
6,25.1829,1.30599,4.02115,0.00674,0.51861,0.4812,0.5998,0.3212,1.36597,4.42565,0.01259,0.00100101,0.00100101,0.00100101
7,27.6766,1.24845,3.26221,0.00708,0.77731,0.48104,0.6722,0.41181,1.25729,3.07405,0.01094,0.000979013,0.000979013,0.000979013
8,30.136,1.27447,2.30366,0.0069,0.48395,0.69555,0.72525,0.45587,1.42326,2.0495,0.01284,0.000957015,0.000957015,0.000957015
9,32.6355,1.21768,1.84624,0.00727,0.64312,0.8662,0.78573,0.48126,1.5298,1.7391,0.01433,0.000935018,0.000935018,0.000935018
10,35.1081,1.36045,1.77608,0.00793,0.77591,0.58953,0.71705,0.3991,1.58007,1.70728,0.01375,0.00091302,0.00091302,0.00091302
11,37.6071,1.24948,1.4872,0.00647,0.72948,0.74025,0.78936,0.45687,1.3758,1.51391,0.01242,0.000891022,0.000891022,0.000891022
12,40.076,1.15352,1.29622,0.00612,0.71545,0.7987,0.81267,0.47467,1.36615,1.38613,0.01213,0.000869024,0.000869024,0.000869024
13,42.5682,1.18815,1.13711,0.00633,0.82185,0.73151,0.79054,0.42957,1.44741,1.46927,0.01264,0.000847026,0.000847026,0.000847026
14,45.0621,1.11102,1.14432,0.00586,0.73863,0.76544,0.79442,0.4598,1.32603,1.41834,0.01169,0.000825029,0.000825029,0.000825029
15,47.51,1.04636,0.90439,0.00535,0.6247,0.81505,0.791,0.44872,1.39224,1.2793,0.0117,0.000803031,0.000803031,0.000803031
16,49.9703,1.08599,0.86322,0.0058,0.7148,0.90131,0.82863,0.48075,1.36332,1.07255,0.01122,0.000781033,0.000781033,0.000781033
17,52.4345,1.06101,0.78113,0.00563,0.78476,0.89247,0.87592,0.52748,1.32654,1.05815,0.01109,0.000759035,0.000759035,0.000759035
18,54.9362,0.99731,0.6575,0.0055,0.88453,0.87327,0.91945,0.52605,1.27711,0.94372,0.01097,0.000737037,0.000737037,0.000737037
19,57.7006,1.06587,0.63527,0.00568,0.85502,0.90175,0.90571,0.50088,1.43393,0.87585,0.0124,0.00071504,0.00071504,0.00071504
20,60.4017,1.02885,0.58685,0.00571,0.79221,0.94468,0.91175,0.50268,1.4335,0.83896,0.01209,0.000693042,0.000693042,0.000693042
